th08	th10	5176	1082	
th08	th12	5079	1043	
th08	th15	5079	926	
th10	th08	2275	379	
th10	th12	3562	609	
th10	th15	3683	609	
th12	th08	3624	494	
th12	th10	4340	357	
th12	th15	4693	325	
th15	th08	1537	139	
th15	th10	1840	108	
th15	th12	2118	107	
